========================================================
  NAC Solution TCO Calculator Update
========================================================
Date: Thu May  1 08:10:49 PM CDT 2025
Project directory: /home/iamrad/Projects/github/UaXtXo
Backup directory: /home/iamrad/Projects/github/UaXtXo/backups/20250501_201049
Log file: /home/iamrad/Projects/github/UaXtXo/update_log_20250501_201049.log
========================================================
Creating backup of current application...
Creating directory: /home/iamrad/Projects/github/UaXtXo/backups/20250501_201049
cp: cannot copy a directory, '/home/iamrad/Projects/github/UaXtXo/backups', into itself, '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/backups'
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/54/812f95b066f10384018ac9bd30cb289ae45df8': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/54/1516bd0f23194a87482e272f48439100b70c73': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/54/223c145bdb01ae50005bbed68cbd25a41e4beb': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/54/9dbd46e5a4c1df5f6d75e11e690d6dc8758421': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/54/8632696756c28c570b9da05b434538ca740fbd': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/54/2bcb594c5dab0ed49b1e7b20275b5336fca140': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/ddaab6acf84a3ec1ee152952c43dca95df5df0': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/19e212992ce8a7dd448d16da7b63946d4db85f': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/8cb616219981c19e23d6ef3b9df9e9685d763d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/8691ea57307002c16418d751816d88f91f911d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/5a92d408076c4e641baf5f3655b3ccaec3f427': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/a1e15e6c2fe73a0ebf35040fef031b46437ba6': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/cabc843d734f3dfef592abddf5c66b225472d2': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/c9/0f6535e4eb3eb470d4aa27b7e1c7fc6becbc5c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/0f/9ae85c3cbb5237ac987586e40a996b470ca074': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/0f/fbbc1f0ef8eccb0d1d83d61d28749a152b03f3': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/0f/90a5dc0f5f107d65a4b8d3f79711b8b1d5a6f7': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/0f/c1abb3b8e30a3ab97023d243127c75b1b3a4d7': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/0f/02412dc795854716216b88b2c9b49d2a99373f': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/0f/9321c65e2b17f75a2af9c96825182bc88fa4e7': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/0f/76ac426d3ae003e3e04af2e386b2c3476b0218': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/fb/7730a82964c0057000c532716976aecb99dab1': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/fb/0eaffe0e1e6d1502fa7fa8d1e279a2c566a438': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/fb/b7ee0eed8d1dd0fe3b5a9d6ff41d1c4f044675': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/fb/1263ae5c9987c38407184688af5a1e5ed2ac02': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/fb/ccfa7f1e3f55cd4dd6b959b7a7df89cd14a853': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/fb/ed187879c12efa431383a9d4b9f340e9c41184': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/fb/c6bb4c5711cb82b84e0f8e70f28c2f2566bd0f': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/2fbb80e320c8e6ec112b1fbf3e8cfb5a1e2d34': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/61694531d07014cd6f935c98f8bc5f2732d2b5': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/c17ed655d31b9752a22a217892270640d68c89': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/dfcf57cae4075ae91eb6a9c8ce99356f920b69': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/85b6e84dbc760b9aa2fee924ef3bcb87989e93': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/12247c464a88a37c8711b0c40884ec8c8e182d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/fb90e45970d491a68e6db8c72fcc531d13a44e': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/38aacf8c109c86025ea445468f4d439b8c2151': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/7ec75ea32d85d54c9203413e107708659a5692': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/183067e7e13bae2463b4ba53d5468bf66a4552': Permission denied
